POS,PLAYER,50,MAT,INNS,NO,RUNS,HS,AVG,BF,SR,100,4S,6S
1,"Sai Sudharsan
GT",4,7,7,0,365,82,52.14,238,153.36,0,36,14
2,"Mitchell Marsh
LSG",4,7,7,0,299,81,42.71,178,167.97,0,30,17
3,"Yashasvi Jaiswal
RR",4,8,8,0,307,75,38.38,220,139.54,0,25,17
4,"Nicholas Pooran
LSG",4,8,8,1,368,87*,52.57,179,205.58,0,30,31
5,"Shreyas Iyer
PBKS",3,7,7,2,257,97*,51.40,132,194.69,0,16,20
6,"Virat Kohli
RCB",3,7,7,2,249,67,49.80,176,141.47,0,20,10
7,"Jos Buttler
GT",3,7,7,2,315,97*,63.00,192,164.06,0,32,13
8,"Aiden Markram
LSG",3,8,8,0,274,66,34.25,183,149.72,0,26,12
9,"Ruturaj Gaikwad
CSK",2,5,5,0,122,63,24.40,81,150.61,0,14,4
10,"K L Rahul
DC",2,6,6,1,266,93*,53.20,168,158.33,0,22,13
11,"N Tilak Varma
MI",2,7,6,1,231,59,46.20,163,141.71,0,19,10
12,"Rajat Patidar
RCB",2,7,6,0,209,64,34.83,133,157.14,0,18,10
13,"Ajinkya Rahane
KKR",2,7,7,1,221,61,36.83,149,148.32,0,19,14
14,"Phil Salt
RCB",2,7,7,0,212,65,30.29,116,182.75,0,26,13
15,"Travis Head
SRH",2,7,7,0,242,67,34.57,144,168.05,0,33,9
16,"Shubman Gill
GT",2,7,7,1,215,61*,35.83,144,149.30,0,23,6
17,"Nitish Rana
RR",2,8,8,1,176,81,25.14,99,177.77,0,21,8
18,"Devon Conway
CSK",1,3,3,0,94,69,31.33,74,127.02,0,9,2
19,"Karun Nair
DC",1,3,3,0,120,89,40.00,61,196.72,0,14,7
20,"Faf Du Plessis
DC",1,3,3,0,81,50,27.00,52,155.76,0,6,5
