POS,PLAYER,BBI,OV,RUNS,WKTS,SR,AGAINST,VENUE,MATCH DATE
1,"Mitchell Starc
DC",35/5,3.4,35,5,4.40,SRH,Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium,30 March 2025
2,"Hardik Pandya
MI",36/5,4.0,36,5,4.80,LSG,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,04 April 2025
3,"Mohammed Siraj
GT",17/4,4.0,17,4,6.00,SRH,Rajiv Gandhi International Stadium,06 April 2025
4,"Noor Ahmad
CSK",18/4,4.0,18,4,6.00,MI,MA Chidambaram Stadium,23 March 2025
5,"Jasprit Bumrah
MI",22/4,4.0,22,4,6.00,LSG,Wankhede Stadium,27 April 2025
6,"Ashwani Kumar
MI",24/4,3.0,24,4,4.50,KKR,Wankhede Stadium,31 March 2025
7,"Trent Boult
MI",26/4,4.0,26,4,6.00,SRH,Rajiv Gandhi International Stadium,23 April 2025
8,"Harshal Patel
SRH",28/4,4.0,28,4,6.00,CSK,MA Chidambaram Stadium,25 April 2025
9,"Yuzvendra Chahal
PBKS",28/4,4.0,28,4,6.00,KKR,New PCA Stadium,15 April 2025
10,"Mukesh Kumar
DC",33/4,4.0,33,4,6.00,LSG,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,22 April 2025
11,"Josh Hazlewood
RCB",33/4,4.0,33,4,6.00,RR,M Chinnaswamy Stadium,24 April 2025
12,"Shardul Thakur
LSG",34/4,4.0,34,4,6.00,SRH,Rajiv Gandhi International Stadium,27 March 2025
13,"Wanindu Hasaranga
RR",35/4,4.0,35,4,6.00,CSK,ACA Stadium,30 March 2025
14,"Prasidh Krishna
GT",41/4,4.0,41,4,6.00,DC,Narendra Modi Stadium,19 April 2025
15,"Krunal Pandya
RCB",45/4,4.0,45,4,6.00,MI,Wankhede Stadium,07 April 2025
16,"Sunil Narine
KKR",13/3,4.0,13,3,8.00,CSK,MA Chidambaram Stadium,11 April 2025
17,"Arshdeep Singh
PBKS",16/3,4.0,16,3,8.00,LSG,Himachal Pradesh Cricket Association Stadium,04 May 2025
18,"Marco Jansen
PBKS",17/3,3.1,17,3,6.33,KKR,New PCA Stadium,15 April 2025
19,"Pat Cummins
SRH",19/3,4.0,19,3,8.00,DC,Rajiv Gandhi International Stadium,05 May 2025
20,"Varun Chakaravarthy
KKR",22/3,4.0,22,3,8.00,SRH,Eden Gardens,03 April 2025
