Player Name,Image URL,Detail Page URL,role
KL RAHUL,https://documents.iplt20.com/ipl/IPLHeadshot2025/19.png,https://www.iplt20.com/teams/delhi-capitals/squad-details/1125,Wicketkeeper
JAKE FRASER-MCGURK,https://documents.iplt20.com/ipl/IPLHeadshot2025/3115.png,https://www.iplt20.com/teams/delhi-capitals/squad-details/20720,Batsman
KARUN NAIR,https://documents.iplt20.com/ipl/IPLHeadshot2025/131.png,https://www.iplt20.com/teams/delhi-capitals/squad-details/276,Batsman
FAF DU PLESSIS,https://documents.iplt20.com/ipl/IPLHeadshot2025/94.png,https://www.iplt20.com/teams/delhi-capitals/squad-details/24,Batsman
DONOVAN FERREIRA,https://documents.iplt20.com/ipl/IPLHeadshot2025/2033.png,https://www.iplt20.com/teams/delhi-capitals/squad-details/5652,Wicketkeeper
ABISHEK POREL,https://documents.iplt20.com/ipl/IPLHeadshot2025/1580.png,https://www.iplt20.com/teams/delhi-capitals/squad-details/33333,Wicketkeeper
TRISTAN STUBBS,https://documents.iplt20.com/ipl/IPLHeadshot2025/1017.png,https://www.iplt20.com/teams/delhi-capitals/squad-details/20631,Batsman
AXAR PATEL,https://documents.iplt20.com/ipl/IPLHeadshot2025/110.png,https://www.iplt20.com/teams/delhi-capitals/squad-details/1113,All-Rounder
SAMEER RIZVI,https://documents.iplt20.com/ipl/IPLHeadshot2025/1229.png,https://www.iplt20.com/teams/delhi-capitals/squad-details/20689,Batsman
ASHUTOSH SHARMA,https://documents.iplt20.com/ipl/IPLHeadshot2025/3109.png,https://www.iplt20.com/teams/delhi-capitals/squad-details/20703,All-Rounder
DARSHAN NALKANDE,https://documents.iplt20.com/ipl/IPLHeadshot2025/127.png,https://www.iplt20.com/teams/delhi-capitals/squad-details/4447,Bowler
VIPRAJ NIGAM,https://documents.iplt20.com/ipl/IPLHeadshot2025/3560.png,https://www.iplt20.com/teams/delhi-capitals/squad-details/22053,Bowler
AJAY MANDAL,https://documents.iplt20.com/ipl/IPLHeadshot2025/1931.png,https://www.iplt20.com/teams/delhi-capitals/squad-details/5811,All-Rounder
MANVANTH KUMAR,https://documents.iplt20.com/ipl/IPLHeadshot2025/3562.png,https://www.iplt20.com/teams/delhi-capitals/squad-details/22086,All-Rounder
TRIPURANA VIJAY,https://documents.iplt20.com/ipl/IPLHeadshot2025/3563.png,https://www.iplt20.com/teams/delhi-capitals/squad-details/22252,All-Rounder
MADHAV TIWARI,https://documents.iplt20.com/ipl/IPLHeadshot2025/3561.png,https://www.iplt20.com/teams/delhi-capitals/squad-details/22259,Batsman
MITCHELL STARC,https://documents.iplt20.com/ipl/IPLHeadshot2025/31.png,https://www.iplt20.com/teams/delhi-capitals/squad-details/490,Bowler
T. NATARAJAN,https://documents.iplt20.com/ipl/IPLHeadshot2025/224.png,https://www.iplt20.com/teams/delhi-capitals/squad-details/3831,Bowler
MOHIT SHARMA,https://documents.iplt20.com/ipl/IPLHeadshot2025/100.png,https://www.iplt20.com/teams/delhi-capitals/squad-details/1107,Bowler
MUKESH KUMAR,https://documents.iplt20.com/ipl/IPLHeadshot2025/1462.png,https://www.iplt20.com/teams/delhi-capitals/squad-details/5622,Bowler
DUSHMANTHA CHAMEERA,https://documents.iplt20.com/ipl/IPLHeadshot2025/608.png,https://www.iplt20.com/teams/delhi-capitals/squad-details/817,Bowler
KULDEEP YADAV,https://documents.iplt20.com/ipl/IPLHeadshot2025/14.png,https://www.iplt20.com/teams/delhi-capitals/squad-details/261,Bowler
