Player Name,Image URL,Detail Page URL,role
ISHAN KISHAN,https://documents.iplt20.com/ipl/IPLHeadshot2025/164.png,https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/2975,Wicketkeeper
ATHARVA TAIDE,https://documents.iplt20.com/ipl/IPLHeadshot2025/1001.png,https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/20603,Batsman
ABHINAV MANOHAR,https://documents.iplt20.com/ipl/IPLHeadshot2025/974.png,https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/20589,Batsman
ANIKET VERMA,https://documents.iplt20.com/ipl/IPLHeadshot2025/3576.png,https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/22082,Batsman
SACHIN BABY,https://documents.iplt20.com/ipl/IPLHeadshot2025/599.png,https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/1115,Batsman
SMARAN RAVICHANDRAN,https://documents.iplt20.com/ipl/IPLHeadshot2025/3752.png,https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/22378,Batsman
HEINRICH KLAASEN,https://documents.iplt20.com/ipl/IPLHeadshot2025/202.png,https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/3869,Wicketkeeper
TRAVIS HEAD,https://documents.iplt20.com/ipl/IPLHeadshot2025/37.png,https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/1020,Batsman
HARSHAL PATEL,https://documents.iplt20.com/ipl/IPLHeadshot2025/114.png,https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/157,All-Rounder
KAMINDU MENDIS,https://documents.iplt20.com/ipl/IPLHeadshot2025/627.png,https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/22077,All-Rounder
WIAAN MULDER,https://documents.iplt20.com/ipl/IPLHeadshot2025/630.png,https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/22376,All-Rounder
ABHISHEK SHARMA,https://documents.iplt20.com/ipl/IPLHeadshot2025/212.png,https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/3760,All-Rounder
NITISH KUMAR REDDY,https://documents.iplt20.com/ipl/IPLHeadshot2025/1944.png,https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/5711,All-Rounder
PAT CUMMINS,https://documents.iplt20.com/ipl/IPLHeadshot2025/33.png,https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/488,Bowler
MOHAMMAD SHAMI,https://documents.iplt20.com/ipl/IPLHeadshot2025/47.png,https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/94,Bowler
RAHUL CHAHAR,https://documents.iplt20.com/ipl/IPLHeadshot2025/171.png,https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/3763,Bowler
SIMARJEET SINGH,https://documents.iplt20.com/ipl/IPLHeadshot2025/622.png,https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/10789,Bowler
ZEESHAN ANSARI,https://documents.iplt20.com/ipl/IPLHeadshot2025/3575.png,https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/22007,Bowler
JAYDEV UNADKAT,https://documents.iplt20.com/ipl/IPLHeadshot2025/180.png,https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/86,Bowler
ESHAN MALINGA,https://documents.iplt20.com/ipl/IPLHeadshot2025/3339.png,https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/22228,Bowler
