Match_No,Team1,Team2,TossWinner,TossDecision,Team1_Runs,Team1_Wickets,Team1_Overs,Team2_Runs,Team2_Wickets,Team2_Overs,Winner,Is_Super_Over,Margin,WonBy,Player_of_Match,Umpire1,Umpire2,Third_Umpire,Referee,Date,Time,Venue,Status,Captain_Team1,Coach_Team1,Owner_Team1,Captain_Team2,Coach_Team2,Owner_Team2,City,Status.1
Match 1,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,174,8,20.0,177,3,16.2,Royal Challengers Bangalore,No,7,Wickets,Krunal Pandya (Royal Challengers Bengaluru),Vinod Seshan,Abhijeet Bengeri,Madanagopal Jayaraman,Prakash Bhatt,3/22/2025,19:30:00,"Eden Gardens, Kolkata",Completed,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,Kolkata,Completed
Match 2,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Field,286,6,20.0,242,6,20.0,Sunrisers Hyderabad,No,44,Runs,Ishan Kishan (Sunrisers Hyderabad),Adrian Holdstock,Akshay Totre,Rohan Pandit,Shakti Singh,3/23/2025,15:30:00,"Rajiv Gandhi International Stadium, Hyderabad",Completed,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Hyderabad,Completed
Match 3,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Field,158,6,19.1,155,9,20.0,Chennai Super Kings,No,4,Wickets,Noor Ahmad (Chennai Super Kings),Kn Ananthapadmanabhan,Khalid Saiyed,Nitin Menon,Javagal Srinath,3/23/2025,19:30:00,"MA Chidambaram Stadium, Chennai",Completed,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Chennai,Completed
Match 4,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,Field,211,9,19.3,209,8,20.0,Delhi Capitals,No,1,Wicket,Ashutosh Sharma (Delhi Capitals),Ulhas Gandhe,Abhijit Bhattacharya,Virender Kumar Sharma,Narayanankutty V,3/24/2025,19:30:00,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Completed,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,Visakhapatnam,Completed
Match 5,Gujarat Titans,Punjab Kings,Gujarat Titans,Field,232,5,20.0,243,5,20.0,Punjab Kings,No,11,Runs,Shreyas Iyer (Punjab Kings),Vinod Seshan,Abhijeet Bengeri,Madanagopal Jayaraman,Prakash Bhatt,3/25/2025,19:30:00,"Narendra Modi Stadium, Ahmedabad",Completed,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,Ahmedabad,Completed
Match 6,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,151,9,20.0,153,2,17.3,Kolkata Knight Riders,No,8,Wickets,Quinton De Kock (Kolkata Knight Riders),Rohan Pandit,Akshay Totre,Adrian Holdstock,Shakti Singh,3/26/2025,19:30:00,"ACA Stadium, Guwahati",Completed,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Guwahati,Completed
Match 7,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,Field,190,9,20.0,193,5,16.1,Lucknow Super Giants,No,5,Wickets,Shardul Thakur (Lucknow Super Giants),Ulhas Gandhe,Abhijit Bhattacharya,Virender Kumar Sharma,Narayanankutty V,3/27/2025,19:30:00,"Rajiv Gandhi International Stadium, Hyderabad",Completed,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,Hyderabad,Completed
Match 8,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Field,146,8,20.0,196,7,20.0,Royal Challengers Bangalore,No,50,Runs,Rajat Patidar (Royal Challengers Bengaluru),Nitin Menon,Khalid Saiyed,Kn Ananthapadmanabhan,Javagal Srinath,3/28/2025,19:30:00,"MA Chidambaram Stadium, Chennai",Completed,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,Chennai,Completed
Match 9,Gujarat Titans,Mumbai Indians,Mumbai Indians,Field,196,8,20.0,160,6,20.0,Gujarat Titans,No,36,Runs,Prasidh Krishna (Gujarat Titans),Vinod Seshan,Abhijeet Bengeri,Madanagopal Jayaraman,Prakash Bhatt,3/29/2025,19:30:00,"Narendra Modi Stadium, Ahmedabad",Completed,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Ahmedabad,Completed
Match 10,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Bat,166,3,16.0,163,10,18.4,Delhi Capitals,No,7,Wickets,Mitchell Starc (Delhi Capitals),Ulhas Gandhe,Abhijit Bhattacharya,Virender Kumar Sharma,Narayanankutty V,3/30/2025,15:30:00,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Completed,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Visakhapatnam,Completed
