Match_No,Date,Time,Team1,Team2,Venue,Status,Team1_Runs,Team1_Wickets,Team1_Overs,Team2_Runs,Team2_Wickets,Team2_Overs,Winner,Is_Super_Over,Margin,WonBy
Match 1,2025-03-22,19:30:00,Kolkata Knight Riders,Royal Challengers Bangalore,"Eden Gardens, Kolkata",Completed,174,8,20.0,177,3,16.2,Royal Challengers Bengaluru,No,7.0,Wickets
Match 2,2025-03-23,15:30:00,Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi International Stadium, Hyderabad",Completed,286,6,20.0,242,6,20.0,Sunrisers Hyderabad,No,44.0,Runs
Match 3,2025-03-23,19:30:00,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai",Completed,158,6,19.1,155,9,20.0,Chennai Super Kings,No,4.0,Wickets
Match 4,2025-03-24,19:30:00,Delhi Capitals,Lucknow Super Giants,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Completed,211,9,19.3,209,8,20.0,Delhi Capitals,No,1.0,Wicket
Match 5,2025-03-25,19:30:00,Gujarat Titans,Punjab Kings,"Narendra Modi Stadium, Ahmedabad",Completed,232,5,20.0,243,5,20.0,Punjab Kings,No,11.0,Runs
Match 6,2025-03-26,19:30:00,Rajasthan Royals,Kolkata Knight Riders,"ACA Stadium, Guwahati",Completed,151,9,20.0,153,2,17.3,Kolkata Knight Riders,No,8.0,Wickets
Match 7,2025-03-27,19:30:00,Sunrisers Hyderabad,Lucknow Super Giants,"Rajiv Gandhi International Stadium, Hyderabad",Completed,190,9,20.0,193,5,16.1,Lucknow Super Giants,No,5.0,Wickets
Match 8,2025-03-28,19:30:00,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chennai",Completed,146,8,20.0,196,7,20.0,Royal Challengers Bengaluru,No,50.0,Runs
Match 9,2025-03-29,19:30:00,Gujarat Titans,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",Completed,196,8,20.0,160,6,20.0,Gujarat Titans,No,36.0,Runs
Match 10,2025-03-30,15:30:00,Delhi Capitals,Sunrisers Hyderabad,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Completed,166,3,16.0,163,10,18.4,Delhi Capitals,No,7.0,Wickets
Match 11,2025-03-30,19:30:00,Rajasthan Royals,Chennai Super Kings,"ACA Stadium, Guwahati",Completed,182,9,20.0,176,6,20.0,Rajasthan Royals,No,6.0,Runs
Match 12,2025-03-31,19:30:00,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Completed,121,2,12.5,116,10,16.2,Mumbai Indians,No,8.0,Wickets
Match 13,2025-04-01,19:30:00,Lucknow Super Giants,Punjab Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Completed,171,7,20.0,177,2,16.2,Punjab Kings,No,8.0,Wickets
Match 14,2025-04-02,19:30:00,Royal Challengers Bangalore,Gujarat Titans,"M Chinnaswamy Stadium, Bengaluru",Completed,169,8,20.0,170,2,17.5,Gujarat Titans,No,8.0,Wickets
Match 15,2025-04-03,19:30:00,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",Completed,200,6,20.0,120,10,16.4,Kolkata Knight Riders,No,80.0,Runs
Match 16,2025-04-04,19:30:00,Lucknow Super Giants,Mumbai Indians,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Completed,203,8,20.0,191,5,20.0,Lucknow Super Giants,No,12.0,Runs
Match 17,2025-04-05,15:30:00,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chennai",Completed,158,5,20.0,183,6,20.0,Delhi Capitals,No,25.0,Runs
Match 18,2025-04-05,19:30:00,Punjab Kings,Rajasthan Royals,"New PCA Stadium, Chandigarh",Completed,155,9,20.0,205,4,20.0,Rajasthan Royals,No,50.0,Runs
Match 19,2025-04-06,19:30:00,Sunrisers Hyderabad,Gujarat Titans,"Rajiv Gandhi International Stadium, Hyderabad",Completed,152,8,20.0,153,3,16.4,Gujarat Titans,No,7.0,Wickets
Match 20,2025-04-07,19:30:00,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Completed,209,9,20.0,221,5,20.0,Royal Challengers Bengaluru,No,12.0,Runs
Match 21,2025-04-08,15:30:00,Kolkata Knight Riders,Lucknow Super Giants,"Eden Gardens, Kolkata",Completed,234,7,20.0,238,3,20.0,Lucknow Super Giants,No,4.0,Runs
Match 22,2025-04-08,19:30:00,Punjab Kings,Chennai Super Kings,"New PCA Stadium, Chandigarh",Completed,219,6,20.0,201,5,20.0,Punjab Kings,No,18.0,Runs
Match 23,2025-04-09,19:30:00,Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",Completed,217,6,20.0,159,10,19.2,Gujarat Titans,No,58.0,Runs
Match 24,2025-04-10,19:30:00,Royal Challengers Bangalore,Delhi Capitals,"M Chinnaswamy Stadium, Bengaluru",Completed,163,7,20.0,169,4,17.5,Delhi Capitals,No,6.0,Wickets
Match 25,2025-04-11,19:30:00,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",Completed,103,9,20.0,107,2,10.1,Kolkata Knight Riders,No,8.0,Wickets
Match 26,2025-04-12,15:30:00,Lucknow Super Giants,Gujarat Titans,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Completed,186,4,19.3,180,6,20.0,Lucknow Super Giants,No,6.0,Wickets
Match 27,2025-04-12,19:30:00,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi International Stadium, Hyderabad",Completed,247,2,18.3,245,6,20.0,Sunrisers Hyderabad,No,8.0,Wickets
Match 28,2025-04-13,15:30:00,Rajasthan Royals,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Completed,173,4,20.0,175,1,17.3,Royal Challengers Bengaluru,No,9.0,Wickets
Match 29,2025-04-13,19:30:00,Delhi Capitals,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Completed,193,10,19.0,205,5,20.0,Mumbai Indians,No,12.0,Runs
Match 30,2025-04-14,19:30:00,Lucknow Super Giants,Chennai Super Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Completed,166,7,20.0,168,5,19.3,Chennai Super Kings,No,5.0,Wickets
