Match_No,Date,Time,Team1,Team2,Team1_Runs,Team1_Wickets,Team1_Overs,Team2_Runs,Team2_Wickets,Team2_Overs,Winner,Winning_Margin,Venue,Is_Super_Over
Match 1,2025-03-22,19:30:00,Kolkata Knight Riders,Royal Challengers Bangalore,174,8,20.0,177.0,3.0,16.2,Royal Challengers Bengaluru,7 Wickets,"Eden Gardens, Kolkata",No
Match 2,2025-03-23,15:30:00,Sunrisers Hyderabad,Rajasthan Royals,286,6,20.0,242.0,6.0,20.0,Sunrisers Hyderabad,44 Runs,"Rajiv Gandhi International Stadium, Hyderabad",No
Match 3,2025-03-23,19:30:00,Chennai Super Kings,Mumbai Indians,158,6,19.1,155.0,9.0,20.0,Chennai Super Kings,4 Wickets,"MA Chidambaram Stadium, Chennai",No
Match 4,2025-03-24,19:30:00,Delhi Capitals,Lucknow Super Giants,211,9,19.3,209.0,8.0,20.0,Delhi Capitals,1 Wicket,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",No
Match 5,2025-03-25,19:30:00,Gujarat Titans,Punjab Kings,232,5,20.0,243.0,5.0,20.0,Punjab Kings,11 Runs,"Narendra Modi Stadium, Ahmedabad",No
Match 6,2025-03-26,19:30:00,Rajasthan Royals,Kolkata Knight Riders,151,9,20.0,153.0,2.0,17.3,Kolkata Knight Riders,8 Wickets,"ACA Stadium, Guwahati",No
Match 7,2025-03-27,19:30:00,Sunrisers Hyderabad,Lucknow Super Giants,190,9,20.0,193.0,5.0,16.1,Lucknow Super Giants,5 Wickets,"Rajiv Gandhi International Stadium, Hyderabad",No
Match 8,2025-03-28,19:30:00,Chennai Super Kings,Royal Challengers Bangalore,146,8,20.0,196.0,7.0,20.0,Royal Challengers Bengaluru,50 Runs,"MA Chidambaram Stadium, Chennai",No
Match 9,2025-03-29,19:30:00,Gujarat Titans,Mumbai Indians,196,8,20.0,160.0,6.0,20.0,Gujarat Titans,36 Runs,"Narendra Modi Stadium, Ahmedabad",No
Match 10,2025-03-30,15:30:00,Delhi Capitals,Sunrisers Hyderabad,166,3,16.0,163.0,10.0,18.4,Delhi Capitals,7 Wickets,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",No
Match 11,2025-03-30,19:30:00,Rajasthan Royals,Chennai Super Kings,182,9,20.0,176.0,6.0,20.0,Rajasthan Royals,6 Runs,"ACA Stadium, Guwahati",No
Match 12,2025-03-31,19:30:00,Mumbai Indians,Kolkata Knight Riders,121,2,12.5,116.0,10.0,16.2,Mumbai Indians,8 Wickets,"Wankhede Stadium, Mumbai",No
Match 13,2025-04-01,19:30:00,Lucknow Super Giants,Punjab Kings,171,7,20.0,177.0,2.0,16.2,Punjab Kings,8 Wickets,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",No
Match 14,2025-04-02,19:30:00,Royal Challengers Bangalore,Gujarat Titans,169,8,20.0,170.0,2.0,17.5,Gujarat Titans,8 Wickets,"M Chinnaswamy Stadium, Bengaluru",No
Match 15,2025-04-03,19:30:00,Kolkata Knight Riders,Sunrisers Hyderabad,200,6,20.0,120.0,10.0,16.4,Kolkata Knight Riders,80 Runs,"Eden Gardens, Kolkata",No
Match 16,2025-04-04,19:30:00,Lucknow Super Giants,Mumbai Indians,203,8,20.0,191.0,5.0,20.0,Lucknow Super Giants,12 Runs,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",No
Match 17,2025-04-05,15:30:00,Chennai Super Kings,Delhi Capitals,158,5,20.0,183.0,6.0,20.0,Delhi Capitals,25 Runs,"MA Chidambaram Stadium, Chennai",No
Match 18,2025-04-05,19:30:00,Punjab Kings,Rajasthan Royals,155,9,20.0,205.0,4.0,20.0,Rajasthan Royals,50 Runs,"New PCA Stadium, Chandigarh",No
Match 19,2025-04-08,15:30:00,Kolkata Knight Riders,Lucknow Super Giants,234,7,20.0,238.0,3.0,20.0,Lucknow Super Giants,4 Runs,"Eden Gardens, Kolkata",No
Match 20,2025-04-06,19:30:00,Sunrisers Hyderabad,Gujarat Titans,152,8,20.0,153.0,3.0,16.4,Gujarat Titans,7 Wickets,"Rajiv Gandhi International Stadium, Hyderabad",No
Match 21,2025-04-07,19:30:00,Mumbai Indians,Royal Challengers Bangalore,209,9,20.0,221.0,5.0,20.0,Royal Challengers Bengaluru,12 Runs,"Wankhede Stadium, Mumbai",No
Match 22,2025-04-08,19:30:00,Punjab Kings,Chennai Super Kings,219,6,20.0,201.0,5.0,20.0,Punjab Kings,18 Runs,"New PCA Stadium, Chandigarh",No
Match 23,2025-04-09,19:30:00,Gujarat Titans,Rajasthan Royals,217,6,20.0,159.0,10.0,19.2,Gujarat Titans,58 Runs,"Narendra Modi Stadium, Ahmedabad",No
Match 24,2025-04-10,19:30:00,Royal Challengers Bangalore,Delhi Capitals,163,7,20.0,169.0,4.0,17.5,Delhi Capitals,6 Wickets,"M Chinnaswamy Stadium, Bengaluru",No
Match 25,2025-04-11,19:30:00,Chennai Super Kings,Kolkata Knight Riders,103,9,20.0,107.0,2.0,10.1,Kolkata Knight Riders,8 Wickets,"MA Chidambaram Stadium, Chennai",No
Match 26,2025-04-12,15:30:00,Lucknow Super Giants,Gujarat Titans,186,4,19.3,180.0,6.0,20.0,Lucknow Super Giants,6 Wickets,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",No
Match 27,2025-04-12,19:30:00,Sunrisers Hyderabad,Punjab Kings,247,2,18.3,245.0,6.0,20.0,Sunrisers Hyderabad,8 Wickets,"Rajiv Gandhi International Stadium, Hyderabad",No
Match 28,2025-04-13,15:30:00,Rajasthan Royals,Royal Challengers Bangalore,173,4,20.0,175.0,1.0,17.3,Royal Challengers Bengaluru,9 Wickets,"Sawai Mansingh Stadium, Jaipur",No
Match 29,2025-04-13,19:30:00,Delhi Capitals,Mumbai Indians,193,10,19.0,205.0,5.0,20.0,Mumbai Indians,12 Runs,"Arun Jaitley Stadium, Delhi",No
Match 30,2025-04-14,19:30:00,Lucknow Super Giants,Chennai Super Kings,166,7,20.0,168.0,5.0,19.3,Chennai Super Kings,5 Wickets,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",No
