Match_No,Umpire1,Umpire2,Third_Umpire,Referee,Player_of_Match,Toss_Winner,Toss_Decision,Match_Winner,Result_Margin,Date,Time,Team1,Team2,Venue_x,Status,Team1_Runs,Team1_Wickets,Team1_Overs,Team2_Runs,Team2_Wickets,Team2_Overs,Winner,Is_Super_Over,Margin,WonBy,Captain_Team1,Coach_Team1,Owner_Team1,Venue_y,Captain_Team2,Coach_Team2,Owner_Team2,Venue
Match 1,Vinod Seshan,Vinod Seshan,Vinod Seshan,Prakash Bhatt,Krunal Pandya,Royal Challengers Bengaluru,Field,Royal Challengers Bengaluru,7  Wickets,2025-03-22,19:30:00,Kolkata Knight Riders,Royal Challengers Bengaluru,"Eden Gardens, Kolkata",Completed,174,8,20.0,177,3,16.2,Royal Challengers Bengaluru,No,7.0,Wickets,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Eden Gardens,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,M. Chinnaswamy Stadium
Match 2,Adrian Holdstock,Adrian Holdstock,Adrian Holdstock,Shakti Singh,Ishan Kishan,Rajasthan Royals,Field,Sunrisers Hyderabad,44  Runs,2025-03-23,15:30:00,Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi International Stadium, Hyderabad",Completed,286,6,20.0,242,6,20.0,Sunrisers Hyderabad,No,44.0,Runs,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Rajiv Gandhi Intl. Cricket Stadium,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Sawai Mansingh Stadium
Match 3,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,Javagal Srinath,Noor Ahmad,Chennai Super Kings,Field,Chennai Super Kings,4  Wickets,2025-03-23,19:30:00,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai",Completed,158,6,19.1,155,9,20.0,Chennai Super Kings,No,4.0,Wickets,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,M. A. Chidambaram Stadium,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Wankhede Stadium
Match 4,Ulhas Gandhe,Ulhas Gandhe,Ulhas Gandhe,Narayanankutty V,Ashutosh Sharma,Delhi Capitals,Field,Delhi Capitals,,2025-03-24,19:30:00,Delhi Capitals,Lucknow Super Giants,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Completed,211,9,19.3,209,8,20.0,Delhi Capitals,No,1.0,Wicket,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Arun Jaitley Stadium,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,BRSABV Ekana Cricket Stadium
Match 5,Vinod Seshan,Vinod Seshan,Vinod Seshan,Prakash Bhatt,Shreyas Iyer,Gujarat Titans,Field,Punjab Kings,11  Runs,2025-03-25,19:30:00,Gujarat Titans,Punjab Kings,"Narendra Modi Stadium, Ahmedabad",Completed,232,5,20.0,243,5,20.0,Punjab Kings,No,11.0,Runs,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Narendra Modi Stadium,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,"PCA New Stadium, Mullanpur"
Match 6,Rohan Pandit,Rohan Pandit,Rohan Pandit,Shakti Singh,Quinton De Kock,Kolkata Knight Riders,Field,Kolkata Knight Riders,8  Wickets,2025-03-26,19:30:00,Rajasthan Royals,Kolkata Knight Riders,"ACA Stadium, Guwahati",Completed,151,9,20.0,153,2,17.3,Kolkata Knight Riders,No,8.0,Wickets,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Sawai Mansingh Stadium,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Eden Gardens
Match 7,Ulhas Gandhe,Ulhas Gandhe,Ulhas Gandhe,Narayanankutty V,Shardul Thakur,Lucknow Super Giants,Field,Lucknow Super Giants,5  Wickets,2025-03-27,19:30:00,Sunrisers Hyderabad,Lucknow Super Giants,"Rajiv Gandhi International Stadium, Hyderabad",Completed,190,9,20.0,193,5,16.1,Lucknow Super Giants,No,5.0,Wickets,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Rajiv Gandhi Intl. Cricket Stadium,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,BRSABV Ekana Cricket Stadium
Match 8,Nitin Menon,Nitin Menon,Nitin Menon,Javagal Srinath,Rajat Patidar,Chennai Super Kings,Field,Royal Challengers Bengaluru,50  Runs,2025-03-28,19:30:00,Chennai Super Kings,Royal Challengers Bengaluru,"MA Chidambaram Stadium, Chennai",Completed,146,8,20.0,196,7,20.0,Royal Challengers Bengaluru,No,50.0,Runs,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,M. A. Chidambaram Stadium,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,M. Chinnaswamy Stadium
Match 9,Vinod Seshan,Vinod Seshan,Vinod Seshan,Prakash Bhatt,Prasidh Krishna,Mumbai Indians,Field,Gujarat Titans,36  Runs,2025-03-29,19:30:00,Gujarat Titans,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",Completed,196,8,20.0,160,6,20.0,Gujarat Titans,No,36.0,Runs,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Narendra Modi Stadium,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Wankhede Stadium
Match 10,Ulhas Gandhe,Ulhas Gandhe,Ulhas Gandhe,Narayanankutty V,Mitchell Starc,Sunrisers Hyderabad,Bat,Delhi Capitals,7  Wickets,2025-03-30,15:30:00,Delhi Capitals,Sunrisers Hyderabad,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Completed,166,3,16.0,163,10,18.4,Delhi Capitals,No,7.0,Wickets,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Arun Jaitley Stadium,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Rajiv Gandhi Intl. Cricket Stadium
