Match_No,Umpire1,Umpire2,Third_Umpire,Referee,Player_of_Match,Toss_Winner,Toss_Decision,Match_Winner,Result_Margin
Match 1,Vinod Seshan,Vinod Seshan,Vinod Seshan,Prakash Bhatt,Krunal Pandya,Royal Challengers Bengaluru,Field,Royal Challengers Bengaluru,7  Wickets
Match 2,Adrian Holdstock,Adrian Holdstock,Adrian Holdstock,Shakti Singh,Ishan Kishan,Rajasthan Royals,Field,Sunrisers Hyderabad,44  Runs
Match 3,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,Javagal Srinath,Noor Ahmad,Chennai Super Kings,Field,Chennai Super Kings,4  Wickets
Match 4,Ulhas Gandhe,Ulhas Gandhe,Ulhas Gandhe,Narayanankutty V,Ashutosh Sharma,Delhi Capitals,Field,Delhi Capitals,
Match 5,Vinod Seshan,Vinod Seshan,Vinod Seshan,Prakash Bhatt,Shreyas Iyer,Gujarat Titans,Field,Punjab Kings,11  Runs
Match 6,Rohan Pandit,Rohan Pandit,Rohan Pandit,Shakti Singh,Quinton De Kock,Kolkata Knight Riders,Field,Kolkata Knight Riders,8  Wickets
Match 7,Ulhas Gandhe,Ulhas Gandhe,Ulhas Gandhe,Narayanankutty V,Shardul Thakur,Lucknow Super Giants,Field,Lucknow Super Giants,5  Wickets
Match 8,Nitin Menon,Nitin Menon,Nitin Menon,Javagal Srinath,Rajat Patidar,Chennai Super Kings,Field,Royal Challengers Bengaluru,50  Runs
Match 9,Vinod Seshan,Vinod Seshan,Vinod Seshan,Prakash Bhatt,Prasidh Krishna,Mumbai Indians,Field,Gujarat Titans,36  Runs
Match 10,Ulhas Gandhe,Ulhas Gandhe,Ulhas Gandhe,Narayanankutty V,Mitchell Starc,Sunrisers Hyderabad,Bat,Delhi Capitals,7  Wickets
Match 11,Adrian Holdstock,Adrian Holdstock,Adrian Holdstock,Shakti Singh,Nitish Rana,Chennai Super Kings,Field,Rajasthan Royals,6  Runs
Match 12,Sai Darshan Kumar,Sai Darshan Kumar,Sai Darshan Kumar,Javagal Srinath,Ashwani Kumar,Mumbai Indians,Field,Mumbai Indians,8  Wickets
Match 13,Vinod Seshan,Vinod Seshan,Vinod Seshan,Prakash Bhatt,Prabhsimran Singh,Punjab Kings,Field,Punjab Kings,8  Wickets
Match 14,Ulhas Gandhe,Ulhas Gandhe,Ulhas Gandhe,Narayanankutty V,Mohammed Siraj,Gujarat Titans,Field,Gujarat Titans,8  Wickets
Match 15,Adrian Holdstock,Adrian Holdstock,Adrian Holdstock,Shakti Singh,Vaibhav Arora,Sunrisers Hyderabad,Field,Kolkata Knight Riders,80  Runs
Match 16,Nitin Menon,Nitin Menon,Nitin Menon,Javagal Srinath,Digvesh Singh,Mumbai Indians,Field,Lucknow Super Giants,12  Runs
Match 17,Abhijeet Bengeri,Abhijeet Bengeri,Abhijeet Bengeri,Prakash Bhatt,K L Rahul,Delhi Capitals,Bat,Delhi Capitals,25  Runs
Match 18,Ulhas Gandhe,Ulhas Gandhe,Ulhas Gandhe,Narayanankutty V,Jofra Archer,Punjab Kings,Field,W     Rajasthan Royals,50  Runs
Match 19,Adrian Holdstock,Adrian Holdstock,Adrian Holdstock,Shakti Singh,Nicholas Pooran,Kolkata Knight Riders,Field,WD     Lucknow Super Giants,4  Runs
Match 20,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,Javagal Srinath,Mohammed Siraj,Gujarat Titans,Field,Gujarat Titans,7  Wickets
Match 21,Vinod Seshan,Vinod Seshan,Vinod Seshan,Prakash Bhatt,Rajat Patidar,Mumbai Indians,Field,Royal Challengers Bengaluru,12  Runs
Match 22,Ulhas Gandhe,Ulhas Gandhe,Ulhas Gandhe,Narayanankutty V,Priyansh Arya,Punjab Kings,Bat,Punjab Kings,18  Runs
Match 23,Rohan Pandit,Rohan Pandit,Rohan Pandit,Shakti Singh,Sai Sudharsan,Rajasthan Royals,Field,WD     Gujarat Titans,58  Runs
Match 24,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,Javagal Srinath,K L Rahul,Delhi Capitals,Field,Delhi Capitals,6  Wickets
Match 25,Chris Gaffaney,Chris Gaffaney,Chris Gaffaney,Prakash Bhatt,Sunil Narine,Kolkata Knight Riders,Field,Kolkata Knight Riders,8  Wickets
Match 26,Ulhas Gandhe,Ulhas Gandhe,Ulhas Gandhe,Narayanankutty V,Aiden Markram,Lucknow Super Giants,Field,Lucknow Super Giants,6  Wickets
Match 27,Akshay Totre,Akshay Totre,Akshay Totre,Shakti Singh,Abhishek Sharma,Punjab Kings,Bat,Sunrisers Hyderabad,8  Wickets
Match 28,Nitin Menon,Nitin Menon,Nitin Menon,Javagal Srinath,Phil Salt,Royal Challengers Bengaluru,Field,Royal Challengers Bengaluru,9  Wickets
Match 29,Chris Gaffaney,Chris Gaffaney,Chris Gaffaney,Prakash Bhatt,Karn Sharma,Delhi Capitals,Field,W     Mumbai Indians,12  Runs
Match 30,Virender Kumar Sharma,Virender Kumar Sharma,Virender Kumar Sharma,Narayanankutty V,Dhoni,Chennai Super Kings,Field,Chennai Super Kings,5  Wickets
Match 31,Sai Darshan Kumar,Sai Darshan Kumar,Sai Darshan Kumar,Javagal Srinath,Yuzvendra Chahal,Punjab Kings,Bat,Punjab Kings,16  Runs
Match 32,Akshay Totre,Akshay Totre,Akshay Totre,Shakti Singh,Mitchell Starc,Rajasthan Royals,Field,Overs  RR                    Delhi Capitals,Super Over
Match 33,Madanagopal Jayaraman,Madanagopal Jayaraman,Madanagopal Jayaraman,Prakash Bhatt,Will Jacks,Mumbai Indians,Field,Mumbai Indians,4  Wickets
Match 34,Virender Kumar Sharma,Virender Kumar Sharma,Virender Kumar Sharma,Narayanankutty V,Tim David,Punjab Kings,Field,Punjab Kings,5  Wickets
Match 35,Akshay Totre,Akshay Totre,Akshay Totre,Rajiv Seth,Jos Buttler,Gujarat Titans,Field,Gujarat Titans,7  Wickets
Match 36,Madanagopal Jayaraman,Madanagopal Jayaraman,Madanagopal Jayaraman,Prakash Bhatt,Avesh Khan,Lucknow Super Giants,Bat,Lucknow Super Giants,2  Runs
Match 37,Sai Darshan Kumar,Sai Darshan Kumar,Sai Darshan Kumar,Javagal Srinath,Virat Kohli,Royal Challengers Bengaluru,Field,Royal Challengers Bengaluru,7  Wickets
Match 38,Virender Kumar Sharma,Virender Kumar Sharma,Virender Kumar Sharma,Narayanankutty V,Rohit Sharma,Mumbai Indians,Field,Mumbai Indians,9  Wickets
Match 39,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rajiv Seth,Shubman Gill,Kolkata Knight Riders,Field,Gujarat Titans,39  Runs
Match 40,Sai Darshan Kumar,Sai Darshan Kumar,Sai Darshan Kumar,Javagal Srinath,Mukesh Kumar,Delhi Capitals,Field,Delhi Capitals,8  Wickets
Match 41,Madanagopal Jayaraman,Madanagopal Jayaraman,Madanagopal Jayaraman,Iqbal Rashid Siddiqui,Trent Boult,Mumbai Indians,Field,Mumbai Indians,7  Wickets
Match 42,Michael Gough,Michael Gough,Michael Gough,Rajiv Seth,Josh Hazlewood,Rajasthan Royals,Field,Royal Challengers Bengaluru,11  Runs
Match 43,Nitin Menon,Nitin Menon,Nitin Menon,Javagal Srinath,Harshal Patel,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,5  Wickets
Match 44,Adrian Holdstock,Adrian Holdstock,Adrian Holdstock,Rajiv Seth,,Punjab Kings,Bat,,
Match 45,Chris Gaffaney,Chris Gaffaney,Chris Gaffaney,Daniel Manohar,Will Jacks,Lucknow Super Giants,Field,Mumbai Indians,54  Runs
Match 46,Nitin Menon,Nitin Menon,Nitin Menon,Iqbal Rashid Siddiqui,Krunal Pandya,Royal Challengers Bengaluru,Field,Royal Challengers Bengaluru,6  Wickets
Match 47,Michael Gough,Michael Gough,Michael Gough,Rajiv Seth,Vaibhav Suryavanshi,Rajasthan Royals,Field,Rajasthan Royals,8   Wickets
Match 48,Sai Darshan Kumar,Sai Darshan Kumar,Sai Darshan Kumar,Iqbal Rashid Siddiqui,Sunil Narine,Delhi Capitals,Field,Kolkata Knight Riders,14  Runs
Match 49,Akshay Totre,Akshay Totre,Akshay Totre,Amit Sharma,Shreyas Iyer,Punjab Kings,Field,Punjab Kings,4  Wickets
Match 50,Vinod Seshan,Vinod Seshan,Vinod Seshan,Daniel Manohar,Ryan Rickelton,Rajasthan Royals,Field,Mumbai Indians,100  Runs
Match 51,Virender Kumar Sharma,Virender Kumar Sharma,Virender Kumar Sharma,Pankaj Dharmani,Prasidh Krishna,Sunrisers Hyderabad,Field,Gujarat Titans,38  Runs
Match 52,Nitin Menon,Nitin Menon,Nitin Menon,Iqbal Rashid Siddiqui,Romario Shepherd,Chennai Super Kings,Field,Royal Challengers Bengaluru,2  Runs
Match 53,Rohan Pandit,Rohan Pandit,Rohan Pandit,Amit Sharma,Andre Russell,Kolkata Knight Riders,Bat,Kolkata Knight Riders,
Match 54,Madanagopal Jayaraman,Madanagopal Jayaraman,Madanagopal Jayaraman,Daniel Manohar,Prabhsimran Singh,Lucknow Super Giants,Field,Punjab Kings,37  Runs
Match 55,Virender Kumar Sharma,Virender Kumar Sharma,Virender Kumar Sharma,Pankaj Dharmani,,Sunrisers Hyderabad,Field,Tristan Stubbs plays an aggressive pull shot on the back foot and is,
Match 56,Sai Darshan Kumar,Sai Darshan Kumar,Sai Darshan Kumar,Arjan Kripal Singh,Shubman Gill,Gujarat Titans,Field,Gujarat Titans,3  Wickets
Match 57,Adrian Holdstock,Adrian Holdstock,Adrian Holdstock,Amit Sharma,Noor Ahmad,Kolkata Knight Riders,Bat,Chennai Super Kings,2  Wickets
Match 58,Chris Gaffaney,Chris Gaffaney,Chris Gaffaney,Daniel Manohar,,Punjab Kings,Bat,Priyansh Arya steps down and plays an aggressive lofted straight drive and is,
Match 59,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,,,,,,
Match 60,Michael Gough,Michael Gough,Michael Gough,,,,,,
Match 61,Chris Gaffaney,Chris Gaffaney,Chris Gaffaney,,,,,,
Match 62,Rohan Pandit,Rohan Pandit,Rohan Pandit,,,,,,
Match 63,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,,,,,,
Match 64,Michael Gough,Michael Gough,Michael Gough,,,,,,
Match 65,Rohan Pandit,Rohan Pandit,Rohan Pandit,,,,,,
