No,Match_No,Team1_Team2,Team1_Score,Team2_Score,Result,Date,Time,Venue,Is_Super_Over
1,Match 58,Punjab Kings vs Delhi Capitals,PunjabKingsPBKS122/1(10.1OV)DelhiCapitalsDC (10.1 OV),N/A,Match abandoned,"MAY, THU 8 , 7:30 pm IST","MAY, THU 8 , 7:30 pm IST","Himachal Pradesh Cricket Association Stadium, Dharamshala",No
2,Match 57,KKR vs Chennai Super Kings,179/6 (20.0 OV),183/8 (19.4 OV),Chennai Super Kings Won by 2 Wickets,"MAY, WED 7 , 7:30 pm IST","MAY, WED 7 , 7:30 pm IST","Eden Gardens, Kolkata",No
3,Match 56,Mumbai Indians vs Gujarat Titans,155/8 (20.0 OV),147/7 (19.0 OV),Gujarat Titans Won by 3 Wickets,"MAY, TUE 6 , 7:30 pm IST","MAY, TUE 6 , 7:30 pm IST","Wankhede Stadium, Mumbai",No
4,Match 55,Sunrisers Hyderabad vs Delhi Capitals,SunrisersHyderabadSRHDelhiCapitalsDC133/7(20.0OV),N/A,No result,"MAY, MON 5 , 7:30 pm IST","MAY, MON 5 , 7:30 pm IST","Rajiv Gandhi International Stadium, Hyderabad",No
5,Match 54,Punjab Kings vs Lucknow Super Giants,236/5 (20.0 OV),199/7 (20.0 OV),Punjab Kings Won by 37 Runs,"MAY, SUN 4 , 7:30 pm IST","MAY, SUN 4 , 7:30 pm IST","Himachal Pradesh Cricket Association Stadium, Dharamshala",No
6,Match 53,KKR vs Rajasthan Royals,206/4 (20.0 OV),205/8 (20.0 OV),Kolkata Knight Riders won,"MAY, SUN 4 , 3:30 pm IST","MAY, SUN 4 , 3:30 pm IST","Eden Gardens, Kolkata",No
7,Match 52,RCB vs Chennai Super Kings,213/5 (20.0 OV),211/5 (20.0 OV),Royal Challengers Bengaluru Won by 2 Runs,"MAY, SAT 3 , 7:30 pm IST","MAY, SAT 3 , 7:30 pm IST","M Chinnaswamy Stadium, Bengaluru",No
8,Match 51,Gujarat Titans vs Sunrisers Hyderabad,224/6 (20.0 OV),186/6 (20.0 OV),Gujarat Titans Won by 38 Runs,"MAY, FRI 2 , 7:30 pm IST","MAY, FRI 2 , 7:30 pm IST","Narendra Modi Stadium, Ahmedabad",No
9,Match 50,Rajasthan Royals vs Mumbai Indians,117 (16.1 OV),217/2 (20.0 OV),Mumbai Indians Won by 100 Runs,"MAY, THU 1 , 7:30 pm IST","MAY, THU 1 , 7:30 pm IST","Sawai Mansingh Stadium, Jaipur",No
10,Match 49,Chennai Super Kings vs Punjab Kings,190 (19.2 OV),194/6 (19.4 OV),Punjab Kings Won by 4 Wickets,"APR, WED 30 , 7:30 pm IST","APR, WED 30 , 7:30 pm IST","MA Chidambaram Stadium, Chennai",No
11,Match 48,Delhi Capitals vs KKR,190/9 (20.0 OV),204/9 (20.0 OV),Kolkata Knight Riders Won by 14 Runs,"APR, TUE 29 , 7:30 pm IST","APR, TUE 29 , 7:30 pm IST","Arun Jaitley Stadium, Delhi",No
12,Match 47,Rajasthan Royals vs Gujarat Titans,212/2 (15.5 OV),209/4 (20.0 OV),Rajasthan Royals Won by 8 Wickets,"APR, MON 28 , 7:30 pm IST","APR, MON 28 , 7:30 pm IST","Sawai Mansingh Stadium, Jaipur",No
13,Match 46,Delhi Capitals vs RCB,162/8 (20.0 OV),165/4 (18.3 OV),Royal Challengers Bengaluru Won by 6 Wickets,"APR, SUN 27 , 7:30 pm IST","APR, SUN 27 , 7:30 pm IST","Arun Jaitley Stadium, Delhi",No
14,Match 45,Mumbai Indians vs Lucknow Super Giants,215/7 (20.0 OV),161 (20.0 OV),Mumbai Indians Won by 54 Runs,"APR, SUN 27 , 3:30 pm IST","APR, SUN 27 , 3:30 pm IST","Wankhede Stadium, Mumbai",No
15,Match 44,KKR vs Punjab Kings,7/0 (1.0 OV),201/4 (20.0 OV),No result,"APR, SAT 26 , 7:30 pm IST","APR, SAT 26 , 7:30 pm IST","Eden Gardens, Kolkata",No
16,Match 43,Chennai Super Kings vs Sunrisers Hyderabad,154 (19.5 OV),155/5 (18.4 OV),Sunrisers Hyderabad Won by 5 Wickets,"APR, FRI 25 , 7:30 pm IST","APR, FRI 25 , 7:30 pm IST","MA Chidambaram Stadium, Chennai",No
17,Match 42,RCB vs Rajasthan Royals,205/5 (20.0 OV),194/9 (20.0 OV),Royal Challengers Bengaluru Won by 11 Runs,"APR, THU 24 , 7:30 pm IST","APR, THU 24 , 7:30 pm IST","M Chinnaswamy Stadium, Bengaluru",No
18,Match 41,Sunrisers Hyderabad vs Mumbai Indians,143/8 (20.0 OV),146/3 (15.4 OV),Mumbai Indians Won by 7 Wickets,"APR, WED 23 , 7:30 pm IST","APR, WED 23 , 7:30 pm IST","Rajiv Gandhi International Stadium, Hyderabad",No
19,Match 40,Lucknow Super Giants vs Delhi Capitals,159/6 (20.0 OV),161/2 (17.5 OV),Delhi Capitals Won by 8 Wickets,"APR, TUE 22 , 7:30 pm IST","APR, TUE 22 , 7:30 pm IST","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",No
