No,Match_No,Team1_Team2,Date,Time,Venue
1,Match 59,Lucknow Super Giants vs RCB,"MAY, FRI 9",7:30 pm IST,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
2,Match 60,Sunrisers Hyderabad vs KKR,"MAY, SAT 10",7:30 pm IST,"Rajiv Gandhi International Stadium, Hyderabad"
3,Match 61,Punjab Kings vs Mumbai Indians,"MAY, SUN 11",3:30 pm IST,"Narendra Modi Stadium, Ahmedabad"
4,Match 62,Delhi Capitals vs Gujarat Titans,"MAY, SUN 11",7:30 pm IST,"Arun Jaitley Stadium, Delhi"
5,Match 63,Chennai Super Kings vs Rajasthan Royals,"MAY, MON 12",7:30 pm IST,"MA Chidambaram Stadium, Chennai"
6,Match 64,RCB vs Sunrisers Hyderabad,"MAY, TUE 13",7:30 pm IST,"M Chinnaswamy Stadium, Bengaluru"
7,Match 65,Gujarat Titans vs Lucknow Super Giants,"MAY, WED 14",7:30 pm IST,"Narendra Modi Stadium, Ahmedabad"
8,Match 66,Mumbai Indians vs Delhi Capitals,"MAY, THU 15",7:30 pm IST,"Wankhede Stadium, Mumbai"
9,Match 67,Rajasthan Royals vs Punjab Kings,"MAY, FRI 16",7:30 pm IST,"Sawai Mansingh Stadium, Jaipur"
10,Match 68,RCB vs KKR,"MAY, SAT 17",7:30 pm IST,"M Chinnaswamy Stadium, Bengaluru"
11,Match 69,Gujarat Titans vs Chennai Super Kings,"MAY, SUN 18",3:30 pm IST,"Narendra Modi Stadium, Ahmedabad"
12,Match 70,Lucknow Super Giants vs Sunrisers Hyderabad,"MAY, SUN 18",7:30 pm IST,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
13,Match 71,TBD vs TBD,"MAY, TUE 20",7:30 pm IST,"Rajiv Gandhi International Stadium, Hyderabad"
14,Match 72,TBD vs TBD,"MAY, WED 21",7:30 pm IST,"Rajiv Gandhi International Stadium, Hyderabad"
15,Match 73,TBD vs TBD,"MAY, FRI 23",7:30 pm IST,"Eden Gardens, Kolkata"
16,Match 74,TBD vs TBD,"MAY, SUN 25",7:30 pm IST,"Eden Gardens, Kolkata"
