Player Name,Image URL,Detail Page URL,role
MS DHONI,https://documents.iplt20.com/ipl/IPLHeadshot2025/57.png,https://www.iplt20.com/teams/chennai-super-kings/squad-details/1,Wicketkeeper
DEWALD BREVIS,https://documents.iplt20.com/ipl/IPLHeadshot2025/797.png,https://www.iplt20.com/teams/chennai-super-kings/squad-details/20593,Batsman
DEVON CONWAY,https://documents.iplt20.com/ipl/IPLHeadshot2025/601.png,https://www.iplt20.com/teams/chennai-super-kings/squad-details/20572,Wicketkeeper
RAHUL TRIPATHI,https://documents.iplt20.com/ipl/IPLHeadshot2025/188.png,https://www.iplt20.com/teams/chennai-super-kings/squad-details/3838,Batsman
SHAIK RASHEED,https://documents.iplt20.com/ipl/IPLHeadshot2025/778.png,https://www.iplt20.com/teams/chennai-super-kings/squad-details/5612,Batsman
VANSH BEDI,https://documents.iplt20.com/ipl/IPLHeadshot2025/3558.png,https://www.iplt20.com/teams/chennai-super-kings/squad-details/22006,Wicketkeeper
ANDRE SIDDARTH,https://documents.iplt20.com/ipl/IPLHeadshot2025/3157.png,https://www.iplt20.com/teams/chennai-super-kings/squad-details/22022,Bowler
AYUSH MHATRE,https://documents.iplt20.com/ipl/IPLHeadshot2025/3497.png,https://www.iplt20.com/teams/chennai-super-kings/squad-details/22377,Batsman
RACHIN RAVINDRA,https://documents.iplt20.com/ipl/IPLHeadshot2025/724.png,https://www.iplt20.com/teams/chennai-super-kings/squad-details/20684,Bowler
RAVICHANDRAN ASHWIN,https://documents.iplt20.com/ipl/IPLHeadshot2025/45.png,https://www.iplt20.com/teams/chennai-super-kings/squad-details/8,All-Rounder
VIJAY SHANKAR,https://documents.iplt20.com/ipl/IPLHeadshot2025/61.png,https://www.iplt20.com/teams/chennai-super-kings/squad-details/1083,All-Rounder
SAM CURRAN,https://documents.iplt20.com/ipl/IPLHeadshot2025/138.png,https://www.iplt20.com/teams/chennai-super-kings/squad-details/2939,All-Rounder
ANSHUL KAMBOJ,https://documents.iplt20.com/ipl/IPLHeadshot2025/3106.png,https://www.iplt20.com/teams/chennai-super-kings/squad-details/20702,All-Rounder
DEEPAK HOODA,https://documents.iplt20.com/ipl/IPLHeadshot2025/215.png,https://www.iplt20.com/teams/chennai-super-kings/squad-details/1556,All-Rounder
JAMIE OVERTON,https://documents.iplt20.com/ipl/IPLHeadshot2025/1216.png,https://www.iplt20.com/teams/chennai-super-kings/squad-details/22109,All-Rounder
KAMLESH NAGARKOTI,https://documents.iplt20.com/ipl/IPLHeadshot2025/146.png,https://www.iplt20.com/teams/chennai-super-kings/squad-details/3766,Bowler
RAMAKRISHNA GHOSH,https://documents.iplt20.com/ipl/IPLHeadshot2025/3559.png,https://www.iplt20.com/teams/chennai-super-kings/squad-details/22153,Batsman
RAVINDRA JADEJA,https://documents.iplt20.com/ipl/IPLHeadshot2025/46.png,https://www.iplt20.com/teams/chennai-super-kings/squad-details/9,All-Rounder
SHIVAM DUBE,https://documents.iplt20.com/ipl/IPLHeadshot2025/211.png,https://www.iplt20.com/teams/chennai-super-kings/squad-details/5431,All-Rounder
KHALEEL AHMED,https://documents.iplt20.com/ipl/IPLHeadshot2025/8.png,https://www.iplt20.com/teams/chennai-super-kings/squad-details/2964,Bowler
NOOR AHMAD,https://documents.iplt20.com/ipl/IPLHeadshot2025/975.png,https://www.iplt20.com/teams/chennai-super-kings/squad-details/20590,Bowler
MUKESH CHOUDHARY,https://documents.iplt20.com/ipl/IPLHeadshot2025/970.png,https://www.iplt20.com/teams/chennai-super-kings/squad-details/20575,Bowler
NATHAN ELLIS,https://documents.iplt20.com/ipl/IPLHeadshot2025/633.png,https://www.iplt20.com/teams/chennai-super-kings/squad-details/17118,Bowler
SHREYAS GOPAL,https://documents.iplt20.com/ipl/IPLHeadshot2025/192.png,https://www.iplt20.com/teams/chennai-super-kings/squad-details/20696,All-Rounder
MATHEESHA PATHIRANA,https://documents.iplt20.com/ipl/IPLHeadshot2025/1014.png,https://www.iplt20.com/teams/chennai-super-kings/squad-details/20627,Bowler
