Player Name,Image URL,Detail Page URL,role
SHUBMAN GILL,https://documents.iplt20.com/ipl/IPLHeadshot2025/62.png,https://www.iplt20.com/teams/gujarat-titans/squad-details/3761,Batsman
JOS BUTTLER,https://documents.iplt20.com/ipl/IPLHeadshot2025/182.png,https://www.iplt20.com/teams/gujarat-titans/squad-details/509,Wicketkeeper
KUMAR KUSHAGRA,https://documents.iplt20.com/ipl/IPLHeadshot2025/3101.png,https://www.iplt20.com/teams/gujarat-titans/squad-details/20694,Wicketkeeper
ANUJ RAWAT,https://documents.iplt20.com/ipl/IPLHeadshot2025/534.png,https://www.iplt20.com/teams/gujarat-titans/squad-details/10788,Wicketkeeper
SHERFANE RUTHERFORD,https://documents.iplt20.com/ipl/IPLHeadshot2025/122.png,https://www.iplt20.com/teams/gujarat-titans/squad-details/5396,Batsman
NISHANT SINDHU,https://documents.iplt20.com/ipl/IPLHeadshot2025/791.png,https://www.iplt20.com/teams/gujarat-titans/squad-details/5615,All-Rounder
MAHIPAL LOMROR,https://documents.iplt20.com/ipl/IPLHeadshot2025/184.png,https://www.iplt20.com/teams/gujarat-titans/squad-details/2970,All-Rounder
WASHINGTON SUNDAR,https://documents.iplt20.com/ipl/IPLHeadshot2025/20.png,https://www.iplt20.com/teams/gujarat-titans/squad-details/2973,All-Rounder
MOHD. ARSHAD KHAN,https://documents.iplt20.com/ipl/IPLHeadshot2025/988.png,https://www.iplt20.com/teams/gujarat-titans/squad-details/20599,All-Rounder
SAI KISHORE,https://documents.iplt20.com/ipl/IPLHeadshot2025/544.png,https://www.iplt20.com/teams/gujarat-titans/squad-details/7123,Bowler
JAYANT YADAV,https://documents.iplt20.com/ipl/IPLHeadshot2025/165.png,https://www.iplt20.com/teams/gujarat-titans/squad-details/1740,All-Rounder
KARIM JANAT,https://documents.iplt20.com/ipl/IPLHeadshot2025/247.png,https://www.iplt20.com/teams/gujarat-titans/squad-details/22139,All-Rounder
SAI SUDHARSAN,https://documents.iplt20.com/ipl/IPLHeadshot2025/976.png,https://www.iplt20.com/teams/gujarat-titans/squad-details/20592,Batsman
DASUN SHANAKA,https://documents.iplt20.com/ipl/IPLHeadshot2025/375.png,https://www.iplt20.com/teams/gujarat-titans/squad-details/1095,All-Rounder
SHAHRUKH KHAN,https://documents.iplt20.com/ipl/IPLHeadshot2025/590.png,https://www.iplt20.com/teams/gujarat-titans/squad-details/7779,Batsman
KAGISO RABADA,https://documents.iplt20.com/ipl/IPLHeadshot2025/116.png,https://www.iplt20.com/teams/gujarat-titans/squad-details/1664,Bowler
MOHAMMED SIRAJ,https://documents.iplt20.com/ipl/IPLHeadshot2025/63.png,https://www.iplt20.com/teams/gujarat-titans/squad-details/3840,Bowler
PRASIDH KRISHNA,https://documents.iplt20.com/ipl/IPLHeadshot2025/150.png,https://www.iplt20.com/teams/gujarat-titans/squad-details/5105,Bowler
MANAV SUTHAR,https://documents.iplt20.com/ipl/IPLHeadshot2025/2443.png,https://www.iplt20.com/teams/gujarat-titans/squad-details/20692,Bowler
GERALD COETZEE,https://documents.iplt20.com/ipl/IPLHeadshot2025/2535.png,https://www.iplt20.com/teams/gujarat-titans/squad-details/20686,Bowler
GURNOOR SINGH BRAR,https://documents.iplt20.com/ipl/IPLHeadshot2025/1231.png,https://www.iplt20.com/teams/gujarat-titans/squad-details/1094,Bowler
ISHANT SHARMA,https://documents.iplt20.com/ipl/IPLHeadshot2025/50.png,https://www.iplt20.com/teams/gujarat-titans/squad-details/38,Bowler
KULWANT KHEJROLIYA,https://documents.iplt20.com/ipl/IPLHeadshot2025/204.png,https://www.iplt20.com/teams/gujarat-titans/squad-details/3835,Bowler
RAHUL TEWATIA,https://documents.iplt20.com/ipl/IPLHeadshot2025/120.png,https://www.iplt20.com/teams/gujarat-titans/squad-details/1749,All-Rounder
RASHID KHAN,https://documents.iplt20.com/ipl/IPLHeadshot2025/218.png,https://www.iplt20.com/teams/gujarat-titans/squad-details/2885,Bowler
