Player Name,Image URL,Detail Page URL,role
AJINKYA RAHANE,https://documents.iplt20.com/ipl/IPLHeadshot2025/44.png,https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/135,Batsman
RINKU SINGH,https://documents.iplt20.com/ipl/IPLHeadshot2025/152.png,https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/3830,Batsman
QUINTON DE KOCK,https://documents.iplt20.com/ipl/IPLHeadshot2025/170.png,https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/834,Wicketkeeper
RAHMANULLAH GURBAZ,https://documents.iplt20.com/ipl/IPLHeadshot2025/641.png,https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/20625,Wicketkeeper
ANGKRISH RAGHUVANSHI,https://documents.iplt20.com/ipl/IPLHeadshot2025/787.png,https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/20690,Batsman
ROVMAN POWELL,https://documents.iplt20.com/ipl/IPLHeadshot2025/329.png,https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/3333,All-Rounder
MANISH PANDEY,https://documents.iplt20.com/ipl/IPLHeadshot2025/16.png,https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/123,Batsman
LUVNITH SISODIA,https://documents.iplt20.com/ipl/IPLHeadshot2025/1009.png,https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/20613,Wicketkeeper
VENKATESH IYER,https://documents.iplt20.com/ipl/IPLHeadshot2025/584.png,https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/8540,All-Rounder
ANUKUL ROY,https://documents.iplt20.com/ipl/IPLHeadshot2025/160.png,https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/3774,All-Rounder
MOEEN ALI,https://documents.iplt20.com/ipl/IPLHeadshot2025/206.png,https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/1735,All-Rounder
RAMANDEEP SINGH,https://documents.iplt20.com/ipl/IPLHeadshot2025/991.png,https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/20595,All-Rounder
ANDRE RUSSELL,https://documents.iplt20.com/ipl/IPLHeadshot2025/141.png,https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/177,All-Rounder
ANRICH NORTJE,https://documents.iplt20.com/ipl/IPLHeadshot2025/142.png,https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/5433,Bowler
VAIBHAV ARORA,https://documents.iplt20.com/ipl/IPLHeadshot2025/583.png,https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/14859,Bowler
MAYANK MARKANDE,https://documents.iplt20.com/ipl/IPLHeadshot2025/87.png,https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/4951,Bowler
SPENCER JOHNSON,https://documents.iplt20.com/ipl/IPLHeadshot2025/2518.png,https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/20699,Bowler
HARSHIT RANA,https://documents.iplt20.com/ipl/IPLHeadshot2025/1013.png,https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/20626,Bowler
SUNIL NARINE,https://documents.iplt20.com/ipl/IPLHeadshot2025/156.png,https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/203,All-Rounder
VARUN CHAKARAVARTHY,https://documents.iplt20.com/ipl/IPLHeadshot2025/140.png,https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/5432,Bowler
CHETAN SAKARIYA,https://documents.iplt20.com/ipl/IPLHeadshot2025/592.png,https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/11062,Bowler
