Player Name,Image URL,Detail Page URL,role
RISHABH PANT,https://documents.iplt20.com/ipl/IPLHeadshot2025/18.png,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/2972,Wicketkeeper
DAVID MILLER,https://documents.iplt20.com/ipl/IPLHeadshot2025/128.png,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/187,Batsman
AIDEN MARKRAM,https://documents.iplt20.com/ipl/IPLHeadshot2025/287.png,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/1667,Batsman
ARYAN JUYAL,https://documents.iplt20.com/ipl/IPLHeadshot2025/990.png,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/20596,Wicketkeeper
HIMMAT SINGH,https://documents.iplt20.com/ipl/IPLHeadshot2025/203.png,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/5434,Batsman
MATTHEW BREETZKE,https://documents.iplt20.com/ipl/IPLHeadshot2025/2805.png,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/22375,Wicketkeeper
NICHOLAS POORAN,https://documents.iplt20.com/ipl/IPLHeadshot2025/136.png,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/1703,Wicketkeeper
MITCHELL MARSH,https://documents.iplt20.com/ipl/IPLHeadshot2025/40.png,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/221,All-Rounder
ABDUL SAMAD,https://documents.iplt20.com/ipl/IPLHeadshot2025/525.png,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/19352,Batsman
SHAHBAZ AHAMAD,https://documents.iplt20.com/ipl/IPLHeadshot2025/523.png,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/13803,All-Rounder
YUVRAJ CHAUDHARY,https://documents.iplt20.com/ipl/IPLHeadshot2025/3564.png,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/22124,All-Rounder
RAJVARDHAN HANGARGEKAR,https://documents.iplt20.com/ipl/IPLHeadshot2025/783.png,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/20571,All-Rounder
ARSHIN KULKARNI,https://documents.iplt20.com/ipl/IPLHeadshot2025/2788.png,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/20691,All-Rounder
AYUSH BADONI,https://documents.iplt20.com/ipl/IPLHeadshot2025/985.png,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/20586,Batsman
SHARDUL THAKUR,https://documents.iplt20.com/ipl/IPLHeadshot2025/105.png,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/1745,All-Rounder
AVESH KHAN,https://documents.iplt20.com/ipl/IPLHeadshot2025/109.png,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/1561,Bowler
AKASH DEEP,https://documents.iplt20.com/ipl/IPLHeadshot2025/1007.png,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/14800,Bowler
M. SIDDHARTH,https://documents.iplt20.com/ipl/IPLHeadshot2025/532.png,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/7119,Bowler
DIGVESH SINGH,https://documents.iplt20.com/ipl/IPLHeadshot2025/3565.png,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/5847,Bowler
AKASH SINGH,https://documents.iplt20.com/ipl/IPLHeadshot2025/535.png,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/12585,Bowler
SHAMAR JOSEPH,https://documents.iplt20.com/ipl/IPLHeadshot2025/3105.png,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/20719,Bowler
PRINCE YADAV,https://documents.iplt20.com/ipl/IPLHeadshot2025/1225.png,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/22097,Bowler
MAYANK YADAV,https://documents.iplt20.com/ipl/IPLHeadshot2025/987.png,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/20585,Bowler
RAVI BISHNOI,https://documents.iplt20.com/ipl/IPLHeadshot2025/520.png,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/19351,Bowler
