Player Name,Image URL,Detail Page URL,role
ROHIT SHARMA,https://documents.iplt20.com/ipl/IPLHeadshot2025/6.png,https://www.iplt20.com/teams/mumbai-indians/squad-details/107,Batsman
SURYA KUMAR YADAV,https://documents.iplt20.com/ipl/IPLHeadshot2025/174.png,https://www.iplt20.com/teams/mumbai-indians/squad-details/108,Batsman
ROBIN MINZ,https://documents.iplt20.com/ipl/IPLHeadshot2025/3103.png,https://www.iplt20.com/teams/mumbai-indians/squad-details/20707,Wicketkeeper
RYAN RICKELTON,https://documents.iplt20.com/ipl/IPLHeadshot2025/743.png,https://www.iplt20.com/teams/mumbai-indians/squad-details/22003,Wicketkeeper
SHRIJITH KRISHNAN,https://documents.iplt20.com/ipl/IPLHeadshot2025/3570.png,https://www.iplt20.com/teams/mumbai-indians/squad-details/22057,Wicketkeeper
BEVON JACOBS,https://documents.iplt20.com/ipl/IPLHeadshot2025/3567.png,https://www.iplt20.com/teams/mumbai-indians/squad-details/22174,Batsman
N. TILAK VARMA,https://documents.iplt20.com/ipl/IPLHeadshot2025/993.png,https://www.iplt20.com/teams/mumbai-indians/squad-details/20594,Batsman
HARDIK PANDYA,https://documents.iplt20.com/ipl/IPLHeadshot2025/54.png,https://www.iplt20.com/teams/mumbai-indians/squad-details/2740,All-Rounder
NAMAN DHIR,https://documents.iplt20.com/ipl/IPLHeadshot2025/3107.png,https://www.iplt20.com/teams/mumbai-indians/squad-details/20701,Batsman
WILL JACKS,https://documents.iplt20.com/ipl/IPLHeadshot2025/1941.png,https://www.iplt20.com/teams/mumbai-indians/squad-details/5629,All-Rounder
MITCHELL SANTNER,https://documents.iplt20.com/ipl/IPLHeadshot2025/75.png,https://www.iplt20.com/teams/mumbai-indians/squad-details/1903,All-Rounder
RAJ ANGAD BAWA,https://documents.iplt20.com/ipl/IPLHeadshot2025/781.png,https://www.iplt20.com/teams/mumbai-indians/squad-details/20601,All-Rounder
CORBIN BOSCH,https://documents.iplt20.com/ipl/IPLHeadshot2025/1041.png,https://www.iplt20.com/teams/mumbai-indians/squad-details/20680,All-Rounder
TRENT BOULT,https://documents.iplt20.com/ipl/IPLHeadshot2025/66.png,https://www.iplt20.com/teams/mumbai-indians/squad-details/969,Bowler
KARN SHARMA,https://documents.iplt20.com/ipl/IPLHeadshot2025/98.png,https://www.iplt20.com/teams/mumbai-indians/squad-details/1118,Bowler
DEEPAK CHAHAR,https://documents.iplt20.com/ipl/IPLHeadshot2025/91.png,https://www.iplt20.com/teams/mumbai-indians/squad-details/140,Bowler
ASHWANI KUMAR,https://documents.iplt20.com/ipl/IPLHeadshot2025/3569.png,https://www.iplt20.com/teams/mumbai-indians/squad-details/22030,Bowler
REECE TOPLEY,https://documents.iplt20.com/ipl/IPLHeadshot2025/574.png,https://www.iplt20.com/teams/mumbai-indians/squad-details/5607,Bowler
V.SATYANARAYANA PENMETSA,https://documents.iplt20.com/ipl/IPLHeadshot2025/3568.png,https://www.iplt20.com/teams/mumbai-indians/squad-details/22161,Bowler
ARJUN TENDULKAR,https://documents.iplt20.com/ipl/IPLHeadshot2025/134.png,https://www.iplt20.com/teams/mumbai-indians/squad-details/10244,Bowler
MUJEEB-UR-RAHMAN,https://documents.iplt20.com/ipl/IPLHeadshot2025/134.png,https://www.iplt20.com/teams/mumbai-indians/squad-details/4572,Bowler
RAGHU SHARMA,https://documents.iplt20.com/ipl/IPLHeadshot2025/3869.png,https://www.iplt20.com/teams/mumbai-indians/squad-details/22379,Bowler
JASPRIT BUMRAH,https://documents.iplt20.com/ipl/IPLHeadshot2025/9.png,https://www.iplt20.com/teams/mumbai-indians/squad-details/1124,Bowler
