Player Name,Image URL,Detail Page URL,role
SANJU SAMSON,https://documents.iplt20.com/ipl/IPLHeadshot2025/190.png,https://www.iplt20.com/teams/rajasthan-royals/squad-details/258,Wicketkeeper
SHUBHAM DUBEY,https://documents.iplt20.com/ipl/IPLHeadshot2025/3112.png,https://www.iplt20.com/teams/rajasthan-royals/squad-details/20688,Batsman
VAIBHAV SURYAVANSHI,https://documents.iplt20.com/ipl/IPLHeadshot2025/3498.png,https://www.iplt20.com/teams/rajasthan-royals/squad-details/22203,Batsman
KUNAL RATHORE,https://documents.iplt20.com/ipl/IPLHeadshot2025/1540.png,https://www.iplt20.com/teams/rajasthan-royals/squad-details/5763,Wicketkeeper
SHIMRON HETMYER,https://documents.iplt20.com/ipl/IPLHeadshot2025/210.png,https://www.iplt20.com/teams/rajasthan-royals/squad-details/1705,Batsman
YASHASVI JAISWAL,https://documents.iplt20.com/ipl/IPLHeadshot2025/533.png,https://www.iplt20.com/teams/rajasthan-royals/squad-details/13538,Batsman
DHRUV JUREL,https://documents.iplt20.com/ipl/IPLHeadshot2025/1004.png,https://www.iplt20.com/teams/rajasthan-royals/squad-details/20620,Wicketkeeper
RIYAN PARAG,https://documents.iplt20.com/ipl/IPLHeadshot2025/189.png,https://www.iplt20.com/teams/rajasthan-royals/squad-details/4445,All-Rounder
NITISH RANA,https://documents.iplt20.com/ipl/IPLHeadshot2025/148.png,https://www.iplt20.com/teams/rajasthan-royals/squad-details/2738,All-Rounder
YUDHVIR SINGH CHARAK,https://documents.iplt20.com/ipl/IPLHeadshot2025/587.png,https://www.iplt20.com/teams/rajasthan-royals/squad-details/10842,All-Rounder
JOFRA ARCHER,https://documents.iplt20.com/ipl/IPLHeadshot2025/181.png,https://www.iplt20.com/teams/rajasthan-royals/squad-details/3502,Bowler
MAHEESH THEEKSHANA,https://documents.iplt20.com/ipl/IPLHeadshot2025/629.png,https://www.iplt20.com/teams/rajasthan-royals/squad-details/20570,Bowler
WANINDU HASARANGA,https://documents.iplt20.com/ipl/IPLHeadshot2025/377.png,https://www.iplt20.com/teams/rajasthan-royals/squad-details/3082,All-Rounder
AKASH MADHWAL,https://documents.iplt20.com/ipl/IPLHeadshot2025/1045.png,https://www.iplt20.com/teams/rajasthan-royals/squad-details/20681,Bowler
KUMAR KARTIKEYA SINGH,https://documents.iplt20.com/ipl/IPLHeadshot2025/1015.png,https://www.iplt20.com/teams/rajasthan-royals/squad-details/20629,Bowler
TUSHAR DESHPANDE,https://documents.iplt20.com/ipl/IPLHeadshot2025/539.png,https://www.iplt20.com/teams/rajasthan-royals/squad-details/3257,Bowler
FAZALHAQ FAROOQI,https://documents.iplt20.com/ipl/IPLHeadshot2025/1011.png,https://www.iplt20.com/teams/rajasthan-royals/squad-details/20610,Bowler
KWENA MAPHAKA,https://documents.iplt20.com/ipl/IPLHeadshot2025/801.png,https://www.iplt20.com/teams/rajasthan-royals/squad-details/20724,Bowler
ASHOK SHARMA,https://documents.iplt20.com/ipl/IPLHeadshot2025/980.png,https://www.iplt20.com/teams/rajasthan-royals/squad-details/20584,Bowler
SANDEEP SHARMA,https://documents.iplt20.com/ipl/IPLHeadshot2025/220.png,https://www.iplt20.com/teams/rajasthan-royals/squad-details/1112,Bowler
