match_id,inning,batting_team,total_runs
335982,1,Kolkata Knight Riders,222
335983,1,Chennai Super Kings,240
335984,1,Rajasthan Royals,129
335985,1,Mumbai Indians,165
335986,1,Deccan Chargers,110
335987,1,Kings XI Punjab,166
335988,1,Deccan Chargers,142
335989,1,Chennai Super Kings,208
335990,1,Deccan Chargers,214
335991,1,Kings XI Punjab,182
335992,1,Royal Challengers Bangalore,135
335993,1,Kolkata Knight Riders,147
335994,1,Mumbai Indians,154
335995,1,Delhi Daredevils,158
335996,1,Chennai Super Kings,178
335997,1,Kolkata Knight Riders,137
335998,1,Delhi Daredevils,191
335999,1,Deccan Chargers,164
336000,1,Rajasthan Royals,196
336001,1,Chennai Super Kings,169
336002,1,Deccan Chargers,165
336003,1,Kings XI Punjab,178
336004,1,Mumbai Indians,162
336005,1,Chennai Super Kings,109
336006,1,Royal Challengers Bangalore,126
336007,1,Chennai Super Kings,144
336008,1,Rajasthan Royals,103
336009,1,Delhi Daredevils,187
336010,1,Kolkata Knight Riders,129
336011,1,Deccan Chargers,140
336012,1,Royal Challengers Bangalore,122
336013,1,Chennai Super Kings,181
336014,1,Kolkata Knight Riders,204
336015,1,Delhi Daredevils,156
336016,1,Royal Challengers Bangalore,143
336017,1,Kolkata Knight Riders,133
336018,1,Chennai Super Kings,156
336019,1,Kings XI Punjab,221
336020,1,Delhi Daredevils,194
336021,1,Kolkata Knight Riders,67
336022,1,Delhi Daredevils,118
336023,1,Rajasthan Royals,197
336024,1,Mumbai Indians,178
336025,1,Kolkata Knight Riders,149
336026,1,Royal Challengers Bangalore,154
336027,1,Kolkata Knight Riders,147
336028,1,Kings XI Punjab,189
336029,1,Royal Challengers Bangalore,126
336031,1,Deccan Chargers,175
336032,1,Mumbai Indians,176
336033,1,Rajasthan Royals,211
336034,1,Royal Challengers Bangalore,156
336035,1,Kings XI Punjab,174
336036,1,Mumbai Indians,145
336037,1,Deccan Chargers,147
336038,1,Rajasthan Royals,192
336039,1,Kings XI Punjab,112
336040,1,Chennai Super Kings,163
392181,1,Mumbai Indians,165
392182,1,Royal Challengers Bangalore,133
392183,1,Kings XI Punjab,104
392184,1,Kolkata Knight Riders,101
392185,1,Chennai Super Kings,179
392186,1,Kings XI Punjab,158
392188,1,Deccan Chargers,184
392189,1,Delhi Daredevils,189
392190,1,Rajasthan Royals,150
392191,1,Royal Challengers Bangalore,168
392192,1,Deccan Chargers,168
392194,1,Royal Challengers Bangalore,149
392195,1,Kings XI Punjab,139
392196,1,Chennai Super Kings,165
392197,1,Mumbai Indians,187
392198,1,Delhi Daredevils,143
392199,1,Kolkata Knight Riders,139
392200,1,Kings XI Punjab,119
392201,1,Deccan Chargers,148
392202,1,Chennai Super Kings,164
392203,1,Mumbai Indians,148
392204,1,Royal Challengers Bangalore,145
392205,1,Deccan Chargers,141
392206,1,Chennai Super Kings,163
392207,1,Kolkata Knight Riders,153
392208,1,Mumbai Indians,149
392209,1,Chennai Super Kings,178
392210,1,Rajasthan Royals,211
392211,1,Kolkata Knight Riders,154
392212,1,Deccan Chargers,145
392213,1,Royal Challengers Bangalore,105
392214,1,Chennai Super Kings,185
392215,1,Mumbai Indians,116
392216,1,Deccan Chargers,168
392217,1,Rajasthan Royals,140
392218,1,Mumbai Indians,157
392219,1,Kolkata Knight Riders,123
392220,1,Deccan Chargers,166
392221,1,Kolkata Knight Riders,173
392222,1,Kings XI Punjab,119
392223,1,Delhi Daredevils,173
392224,1,Chennai Super Kings,129
392225,1,Rajasthan Royals,145
392226,1,Delhi Daredevils,120
392227,1,Mumbai Indians,147
392228,1,Kolkata Knight Riders,160
392229,1,Kings XI Punjab,134
392230,1,Delhi Daredevils,150
392231,1,Chennai Super Kings,188
392232,1,Delhi Daredevils,134
392233,1,Rajasthan Royals,101
